"Activity" "Subject" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"WALKING" 1 -0.100817446286316 -0.0611997215605263 -0.0140190348031579 -0.387862894036842 -0.210895937338316 -0.296304904905263 0.319517761126316 0.230757204136842 0.228557667323158 -0.505620464642105 -0.668349705905263 -0.543982735947368 0.178815735423158 -0.0129526175852632 -0.0475199271831579 -0.591187153029474 -0.556360265252632 -0.697884997431579 0.0258411209852632 -0.139357013131579 0.203849374147368 -0.641597387642105 -0.582776513136842 -0.533592648157895 -0.0907625681452632 -0.0673822596682105 -0.0691025242060842 -0.667764897031579 -0.718267470210526 -0.684751948831579 -0.168272748997895 -0.121402338810526 -0.168272748997895 -0.121402338810526 -0.593652505706316 -0.562676549842105 -0.391576771484211 -0.5005907014 -0.703241060431579 -0.703727295052632 -0.440429036442105 -0.326725166589474 -0.442524600484211 -0.370355179681053 -0.210545390872632 -0.283874693654737 -0.602066377304211 -0.572734934856842 -0.670510345494737 -0.618247329557895 -0.569936726689684 -0.724634364305263 -0.57020008325579 -0.606773010362105 -0.524825638903158 -0.666536007965263 -0.575853609221053 -0.582754755803158 -0.256409103212632 -0.203832315836842 -0.546708103747368 -0.588917709665263 -0.567659021728421 -0.549512748242105 -0.702303473473684 -0.7282747752
"WALKING" 2 0.101135191372881 -0.0234773213267797 -0.110713204616949 -0.115547477610169 -0.0179932511067797 -0.240805378898305 0.789314013694915 -0.108325007816949 0.0211639527772881 -0.859681381186441 -0.809348396271186 -0.811549413898305 0.0576880925711864 0.0191974172847458 -0.0272117771220339 -0.261777736471186 -0.25588577348983 -0.580094865525424 0.0309539744355932 -0.123648192754237 0.122868062462881 -0.469900608322034 -0.421473941372881 -0.337962997898305 -0.0811614651154237 -0.0834045697813559 -0.118706089157627 -0.49266231739661 -0.621151288186441 -0.474944221383051 -0.0168866913915254 -0.0711801425762712 -0.0168866913915254 -0.0711801425762712 -0.317958236952542 -0.2608990156 -0.190764810778305 -0.352207970616949 -0.559082231847458 -0.598233736474576 -0.159489905152542 -0.0703547068220339 -0.344188300389831 -0.101614108644068 -0.0571325218135593 -0.251791020559322 -0.283574826884746 -0.282784672979661 -0.535043331355932 -0.307709003559322 -0.280024831474576 -0.624790541694915 -0.368872089389831 -0.452719733608475 -0.295611753067797 -0.505309365983051 -0.415004192508475 -0.418242956813559 -0.0804803596932203 -0.21621104060678 -0.238017031915254 -0.299770326367797 -0.427054743047458 -0.418041860305085 -0.596268489745763 -0.630605478372881
"WALKING" 3 0.125420364655172 -0.024729156137931 -0.117452192931034 -0.16356720262069 -0.027692802585 -0.244802915751724 0.836293397931035 -0.13965315697069 -0.0516359450594828 -0.90446963137931 -0.870930181689655 -0.84989649587931 0.158972342689655 0.0301258971731034 0.0116309248413793 -0.308783381961207 -0.271812887927586 -0.570340835137931 -0.0153678798494828 -0.0918331795517241 0.0589770111689655 -0.445833133 -0.427005478086207 -0.305679317655172 -0.0327098851610345 -0.0804776049706896 -0.148614365582759 -0.513881941482759 -0.633232558206897 -0.494962932168966 -0.0620352187413793 -0.153391378606897 -0.0620352187413793 -0.153391378606897 -0.337502926034483 -0.313070529706897 -0.197421595832759 -0.3564650368 -0.569532992551724 -0.619101155603448 -0.22441695892069 -0.0920376331551724 -0.349445663606897 -0.141912014396552 -0.0596712630068966 -0.253634119508621 -0.331080091767241 -0.310174006344828 -0.528090435206897 -0.348355382568966 -0.279458950801724 -0.611722798758621 -0.367321253896552 -0.466237142413793 -0.285070000596552 -0.47553555012069 -0.413281744034483 -0.380066329793103 -0.156985682382759 -0.286768604043103 -0.288981496253448 -0.352704586998276 -0.439757616344828 -0.416171603096552 -0.610653295827586 -0.658648737655172
"WALKING" 4 0.1383098475 -0.0200729364058333 -0.112407790533333 -0.0880666941333333 -0.0451848920833333 -0.230123023159667 0.8627884815 -0.162183718817333 -0.0486341485353833 -0.9237824585 -0.900233715666667 -0.885529194166667 0.159143958853333 0.00232837842383333 0.0484896413333333 -0.236896309631667 -0.251925635516667 -0.529766761166667 -0.00894640416516666 -0.0944301850838333 0.0959900603891667 -0.4108733131 -0.378233744935 -0.309494471816667 -0.0280663125333333 -0.0969704735241667 -0.0949674271433333 -0.472046713616667 -0.591041317016667 -0.49375955035 -0.0276517210023333 -0.109364809416667 -0.0276517210023333 -0.109364809416667 -0.29228644264 -0.233726914556 -0.170670545328333 -0.331674294466667 -0.5406595812 -0.580172757666667 -0.142506456468333 -0.0915831471 -0.324509705933333 -0.0689939991916667 -0.0839364776033333 -0.24523064715 -0.26251684798 -0.282525943006667 -0.485714758 -0.279749931176667 -0.270377694983333 -0.573681359166667 -0.31770436285 -0.415532529983333 -0.286589272416667 -0.44356217665 -0.36681487497 -0.3851587221 -0.096343835035 -0.257864683816667 -0.210677671831667 -0.27351808092 -0.40037168995 -0.403683042438333 -0.574126456508333 -0.620439739733333
"WALKING" 5 0.150586790892857 -0.0163898400525 -0.099381614875 -0.139120467569643 0.011021368375 -0.197297644 0.831821656428571 -0.181279988571429 -0.0653050131571428 -0.936676529464286 -0.912098794285714 -0.88834706875 0.0940707274821429 -0.0557454321017857 -0.0658020630714286 -0.241290334992857 -0.232736856816071 -0.507359777596429 -0.0499881437660714 -0.0875429419678571 0.0828039866016071 -0.385090149303571 -0.337315132660714 -0.223410262603571 -0.0946013529160714 -0.124000841025893 -0.103182096946429 -0.492914612732143 -0.554827596014286 -0.462111068303571 -0.0424019927214286 -0.0956459157321429 -0.0424019927214286 -0.0956459157321429 -0.285835352178571 -0.217220376519643 -0.136870842071429 -0.269786006489286 -0.517882810089286 -0.548885481178571 -0.159501675741071 -0.0455253240017857 -0.270319105283929 -0.133270841306786 -0.0272894389053571 -0.224344299392857 -0.258526308725 -0.260786360351786 -0.454019289285714 -0.293409923185714 -0.256893887571429 -0.560871000069643 -0.310854019857143 -0.369556360053571 -0.230525337392857 -0.413863266796429 -0.327843618176786 -0.296684839314286 -0.0893726174642857 -0.243906211364286 -0.201530697946429 -0.245872655571429 -0.354664345053571 -0.345018330285714 -0.539931892482143 -0.595040503678571
"WALKING" 6 0.160798385438596 -0.0218583948703509 -0.0930840276315789 -0.167660050373684 -0.0845509518596491 -0.287927395491228 0.836154519491228 -0.168843353912281 0.0236262828122807 -0.917734443157895 -0.910602670701754 -0.87288127 0.0915676430035088 0.0815633239649123 0.00726032324035088 -0.294489836782456 -0.283257325264912 -0.596421124333333 0.00873723857192983 -0.118839740754386 0.108143430995614 -0.498656789635088 -0.385558853684211 -0.368603277364912 -0.0987554292963158 -0.133484386136842 -0.108225836964912 -0.52106897245614 -0.617242750175439 -0.524841136684211 -0.0961295509649123 -0.175831891473684 -0.0961295509649123 -0.175831891473684 -0.343436954056667 -0.304658135736842 -0.233550941626316 -0.358388586094737 -0.566293089649123 -0.611696411385965 -0.214272004070351 -0.130608797140351 -0.399758916245614 -0.152005646894737 -0.12197440622807 -0.291253334952632 -0.321720013582456 -0.311845560084211 -0.558897195614035 -0.33102038654386 -0.301878953080702 -0.632887272964912 -0.409066122912281 -0.446325859754386 -0.339484265147368 -0.53113280145614 -0.363724517789474 -0.440339285922807 -0.174558683368421 -0.307703291480702 -0.278349241077193 -0.346040617095789 -0.427390254936842 -0.429984732596491 -0.607268165578947 -0.647364991929825
"WALKING" 7 0.168476317719298 -0.011598803745614 -0.103874871614035 -0.217311596066667 -0.0948644812631579 -0.276066337052632 0.79566905122807 -0.157127285557895 -0.00123255067929825 -0.937870917368421 -0.916622537894737 -0.898169469649123 0.134044728722807 0.0595689600212281 0.0317836106210526 -0.334492562140351 -0.317384541045614 -0.560962057368421 -0.0602323985736842 -0.0714730405866667 0.120980015402632 -0.505877164170175 -0.418732928996491 -0.360023604105263 -0.0717052015005263 -0.0950969559421053 -0.111356201638596 -0.54694252927193 -0.621176655122807 -0.540278044314035 -0.126636948998246 -0.197613526689474 -0.126636948998246 -0.197613526689474 -0.369783933789474 -0.303400477138596 -0.255859759105263 -0.397949719192982 -0.590070934333333 -0.60432412354386 -0.254531995517544 -0.142080205485965 -0.370631538368421 -0.205080606252632 -0.130343099764912 -0.2886278452 -0.359927222947368 -0.346386588452632 -0.521999621473684 -0.369356213105263 -0.333152445350877 -0.599096296491228 -0.436653383287719 -0.467681583894737 -0.34241124954386 -0.531295326280702 -0.402548930021053 -0.427982991824561 -0.188915278829825 -0.330593797168421 -0.292677406701754 -0.323707289601754 -0.459745990017544 -0.463694554526316 -0.604767100807018 -0.633040689666667
"WALKING" 8 0.175350454166667 -0.0339098810995833 -0.1112520503625 -0.243541793104167 -0.0585115606666667 -0.249449611479167 0.765433398125 -0.152644157345833 -0.0314008261729167 -0.934918982083333 -0.918562369583333 -0.891966159791667 0.175632262395833 0.038750710375 -0.0212446682008333 -0.324268369098333 -0.29030582715 -0.579791522479167 -0.0567465475270833 -0.0806414653058333 0.0557991943333333 -0.449690133833333 -0.376664890275 -0.273445158541667 -0.0549427845388958 -0.0703139580458333 -0.0800149677083333 -0.527935456166667 -0.615608784020833 -0.484432240627917 -0.126562597083333 -0.218318772979167 -0.126562597083333 -0.218318772979167 -0.353855148033333 -0.312642836604167 -0.194386729739583 -0.32586051419375 -0.56438135023125 -0.595706157622083 -0.2548974084375 -0.109801016054167 -0.357034540083333 -0.241901253458333 -0.0946438510416667 -0.256035034 -0.346544878185417 -0.3092574879375 -0.539640153333333 -0.362666836989583 -0.320711434666667 -0.619065885125 -0.3889754811875 -0.438759853083333 -0.270478156541667 -0.475140365375 -0.350613632375 -0.3457206124375 -0.20180247958 -0.352283694916667 -0.284076898622917 -0.357188712 -0.410985867645833 -0.3901635745625 -0.595781570333333 -0.625867065645833
"WALKING" 9 0.180914682115385 -0.0267068435323077 -0.112851644134615 -0.232157051346154 -0.0955716900711538 -0.210468172565385 0.824008912307692 -0.203303478440385 -0.124729837361538 -0.944362751923077 -0.920572660961538 -0.897210672884615 0.131714228355769 0.0270815054307692 0.0502642381807692 -0.330035034548077 -0.326548482596154 -0.560561414096154 0.0120620387634615 -0.0961436262317308 0.0520188057692308 -0.503367040096154 -0.406346004884615 -0.276271586346154 -0.0774344606538462 -0.0750577270307692 -0.100397041723077 -0.549420435384615 -0.607808157115385 -0.552118318076923 -0.122788110701923 -0.230840241153846 -0.122788110701923 -0.230840241153846 -0.365696902032692 -0.316593629807692 -0.236097105790385 -0.394525832230769 -0.578034328461538 -0.609980263461538 -0.264105688365385 -0.162043672448077 -0.336251637711538 -0.221900167326923 -0.121792939082692 -0.210955132905769 -0.351840508575 -0.353538378365385 -0.518322702721154 -0.369213832636538 -0.344737544942308 -0.602750684939231 -0.423209584903846 -0.442765145884615 -0.31898917975 -0.531807418076923 -0.394090767461538 -0.333792770826923 -0.220144029309615 -0.359884786057692 -0.293626167403846 -0.353702937303846 -0.461847951807692 -0.456654756211538 -0.604506296538462 -0.646213831730769
"WALKING" 10 0.185806540377358 -0.0262458144666962 -0.107233530584906 -0.151706866343396 -0.000838331941509436 -0.232568285395472 0.903142239811321 -0.211405659830189 -0.0614980251867925 -0.947429470943396 -0.926851806981132 -0.920075071509434 0.110354908049057 0.070904065109434 0.0633808962150943 -0.217141237381132 -0.159880692301887 -0.513961985622642 -0.0218950811603774 -0.0638154620830189 0.0575779166301887 -0.420865843660377 -0.333435279388679 -0.277908990830189 -0.0619955706301887 -0.108186436656604 -0.0429845544924528 -0.429053103433962 -0.544605015924528 -0.437198246037736 -0.0538849114358491 -0.194750440935283 -0.0538849114358491 -0.194750440935283 -0.24563696004717 -0.206798276150943 -0.171863561918868 -0.321297153958491 -0.490242080339623 -0.533006813792453 -0.178188528246792 -0.031339339409434 -0.320023382666038 -0.144800223988679 -0.050455730754717 -0.25059954890566 -0.252131595339623 -0.210540562339623 -0.473607738566038 -0.252053541415094 -0.162125933573057 -0.552926505377358 -0.317059956356604 -0.38108554209434 -0.244493231769811 -0.456441011467925 -0.317388574113208 -0.359517744132075 -0.163407565871698 -0.34042103554717 -0.188568121584906 -0.239582958832075 -0.378741973037736 -0.403569861396226 -0.536283761528302 -0.563127749792453
